序号,分组,字段名,字段类型,是否必填,选项值/说明,填写方
1,①运营提交,运营·物料编号,文本,是,提交时手动或脚本生成，如 M-2026-0614-001,系统/运营
2,①运营提交,运营·物料内容,多行文本,是,广告文案/口播脚本/详情页文字,运营
3,①运营提交,运营·物料附件,附件,否,图片/视频原文件,运营
4,①运营提交,运营·行业领域,单选,是,美妆 / 游戏 / 影音,运营
5,①运营提交,运营·物料类型,单选,是,图文 / 短视频 / 直播话术 / Banner / 详情页 / 其他,运营
6,①运营提交,运营·投放平台,多选,是,抖音 / 小红书 / 微信 / B站 / 淘宝 / 微博 / 快手 / 视频号 / 今日头条 / 其他,运营
7,①运营提交,运营·是否启用AI预审,单选,是,是 / 否（默认是）,运营
8,①运营提交,运营·紧急程度,单选,否,普通 / 加急（默认普通）,运营
9,①运营提交,运营·提交人,人员,是,飞书用户（自动填当前操作人）,系统
10,①运营提交,运营·提交时间,日期时间,是,自动填提交那一刻的时间,系统
11,②AI预审,AI预审·风险等级,单选,否,高 / 中 / 低 / 无明显风险,系统
12,②AI预审,AI预审·命中要点,多行文本,否,AI找到的具体风险点（带定位）,系统
13,②AI预审,AI预审·修改建议,多行文本,否,给运营看的话术建议（不含通过/不通过）,系统
14,②AI预审,AI预审·时间,日期时间,否,AI完成预审的时间,系统
15,②AI预审,AI预审·运营修改记录,多行文本,否,运营自己写的修改说明,运营
16,②AI预审,AI预审·运营是否采纳建议,单选,否,全部采纳 / 部分采纳 / 未采纳 / 未使用预审,运营
17,③AI审核,AI审核·审核意见,多行文本,否,基于运营最终稿的详细法律分析,系统
18,③AI审核,AI审核·高风险词命中,多行文本,否,抽取的关键词清单,系统
19,③AI审核,AI审核·备案核查结果,多行文本,否,备案/资质核查结果,系统
20,③AI审核,AI审核·推荐违规类型,多选,否,绝对化用语 / 虚假宣传 / 功效超出备案 / 医疗用语 / 数据引用不规范 / 概率未公示 / 未成年人保护 / 版号缺失 / AIGC未标识 / 许可证缺失 / 广告不可识别 / 等价广告违规 / 含恐怖暴力内容 / 其他,系统
21,③AI审核,AI审核·推荐风险等级,单选,否,高 / 中 / 低,系统
22,③AI审核,AI审核·审核时间,日期时间,否,AI完成正式审核的时间,系统
23,④法务裁决,法务·AI意见评价,单选,是(进入裁决环节后),同意无补充 / 同意有补充 / 驳回,法务
24,④法务裁决,法务·物料裁决,单选,是(进入裁决环节后),通过 / 不通过,法务
25,④法务裁决,法务·异议字段,多选,驳回时必填,风险等级 / 违规类型 / 高风险词识别 / 备案核查 / 其他,法务
26,④法务裁决,法务·补充或驳回理由,多行文本,驳回时必填/有补充时填,补充意见或驳回原因,法务
27,④法务裁决,法务·驳回正确判定,多行文本,驳回时必填,法务认为正确的判定结果,法务
28,④法务裁决,法务·最终修改意见,多行文本,不通过时必填,给运营的修改指令,法务
29,④法务裁决,法务·批注,多行文本,否,自由备注,法务
30,④法务裁决,法务·复核人,人员,否,飞书用户（自动填当前操作人）,系统
31,④法务裁决,法务·复核时间,日期时间,否,自动填裁决那一刻的时间,系统
32,⑤流转沉淀,流转·当前状态,单选,是,运营起草 / AI预审中 / 运营修改中 / 待法务复核 / 已通过 / 需修改 / 已上线 / 已撤回,系统
33,⑤流转沉淀,流转·反馈类型,单选,否,refine（同意有补充）/ override（驳回）/ 无,系统
34,⑤流转沉淀,流转·是否进入大脑沉淀,复选框,否,反馈类型非空时自动勾选,系统
35,⑤流转沉淀,流转·轮次,数字,是,默认1，运营修改后再提交时+1,系统
