case_id,queried,status,title,court,last_instance_date,case_flag,url,court_expected,loose_match_count,raw_path,error
excel_candidate__absolute_terms__0963e2cd,（2019）浙03行终113号,hit,温州经济技术开发区海城乔诗丹顿卫浴洁具店、温州市市场监督管理局工商行政管理(工商)二审行政判决书,浙江省温州市中级人民法院,2019.05.09,(2019)浙03行终113号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4c5df47b8c2f11eb4a74afe948dc78acbbdfb.html?way=mcp,浙江省温州市中级人民法院,5,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__absolute_terms__0963e2cd___2019_浙03行终113号.json,
excel_candidate__absolute_terms__1c28d555,（2017）京0108行初511号,hit,北京假日阳光环球旅行社有限公司与北京市工商行政管理局海淀分局其他一审行政判决书,北京市海淀区人民法院,2017.11.23,(2017)京0108行初511号,https://www.pkulaw.com/pfnl/a25051f3312b07f3810e33e632f78d869015c9da5c54fae1bdfb.html?way=mcp,北京市海淀区人民法院,5,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__absolute_terms__1c28d555___2017_京0108行初511号.json,
excel_candidate__absolute_terms__434f2186,（2016）豫0104行初138号,hit,郑州尚之泉文化传播有限公司诉郑州市工商行政管理局金水分局处罚案,河南省郑州市管城回族区人民法院,2016.12.23,(2016)豫0104行初138号,https://www.pkulaw.com/pfnl/a25051f3312b07f38e42b7a6be5b3e7b6b6e22dd204210f9bdfb.html?way=mcp,郑州市管城回族区人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__absolute_terms__434f2186___2016_豫0104行初138号.json,
excel_candidate__absolute_terms__92b4e4d1,（2018）豫01行终314号,hit,郑州市金水区工商管理和质量技术监督局、郑州市科视视光技术有限公司工商行政管理(工商)二审行政判决书,河南省郑州市中级人民法院,2018.11.12,(2018)豫01行终314号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc451270dc82d4e9e8c642aa7ceb5d10dc3bdfb.html?way=mcp,河南省郑州市中级人民法院,3,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__absolute_terms__92b4e4d1___2018_豫01行终314号.json,
excel_candidate__absolute_terms__f8beaa91,（2019）浙03行终112号,hit,温州经济技术开发区海城叶挺亮洁具配件厂、温州市市场监督管理局工商行政管理(工商)二审行政判决书,浙江省温州市中级人民法院,2019.05.09,(2019)浙03行终112号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4bff23556f1015e296b48ed794677b765bdfb.html?way=mcp,浙江省温州市中级人民法院,3,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__absolute_terms__f8beaa91___2019_浙03行终112号.json,
excel_candidate__cosmetic_medical_claim__2280310e,（2017）陕01民再74号,hit,温某诉天津百恩汇生物科技有限公司买卖合同纠纷再审案,陕西省西安市中级人民法院,2017.09.18,(2017)陕01民再74号,https://www.pkulaw.com/pfnl/a25051f3312b07f3c437c15858ac1f77db85f47b4e66171cbdfb.html?way=mcp,陕西省西安市中级人民法院,9,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__cosmetic_medical_claim__2280310e___2017_陕01民再74号.json,
excel_candidate__cosmetic_medical_claim__80f1858a,（2018）苏0508行初268号,hit,苏州开禧医药有限公司与苏州市吴江区市场监督管理局行政处罚一审行政判决书,江苏省苏州市姑苏区人民法院,2018.12.28,(2018)苏0508行初268号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc48709858208ea3254d8a61eeeb1a2e3acbdfb.html?way=mcp,苏州市姑苏区人民法院,5,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__cosmetic_medical_claim__80f1858a___2018_苏0508行初268号.json,
excel_candidate__cosmetic_medical_claim__865b8bc7,（2015）朝民（商）初字第49845号,hit,周某诉北京创锐文化传媒有限公司买卖合同纠纷案,北京市朝阳区人民法院,2016.11.02,(2015)朝民(商)初字第49845号,https://www.pkulaw.com/pfnl/a25051f3312b07f37d8b725abcac33c0197858183aea6c6fbdfb.html?way=mcp,北京市朝阳区人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__cosmetic_medical_claim__865b8bc7___2015_朝民_商_初字第49845号.json,
excel_candidate__cosmetic_medical_claim__ac711b6d,（2019）鲁1424行审75号,hit,临邑县市场监督管理局、临邑县临南镇双丰至尚洗化百货商店非诉执行审查行政裁定书,山东省临邑县人民法院,2019.08.01,(2019)鲁1424行审75号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4fa6ce21383053071257b181183b2c3d7bdfb.html?way=mcp,临邑县人民法院,2,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__cosmetic_medical_claim__ac711b6d___2019_鲁1424行审75号.json,
excel_candidate__cosmetic_medical_claim__b2d8108c,（2020）鄂1223行审52号,hit,崇阳县市场监督管理局、御升广盈生物科技（深圳）有限公司非诉执行审查行政裁定书,湖北省崇阳县人民法院,2020.07.10,(2020)鄂1223行审52号,https://www.pkulaw.com/pfnl/a6bdb3332ec0adc4c40842ff9ea78871b0efeb87fc0afa19bdfb.html?way=mcp,崇阳县人民法院,1,data/sources/pkulaw_backfill/full_20260917/raw/excel_candidate__cosmetic_medical_claim__b2d8108c___2020_鄂1223行审52号.json,
