case_id,case_name,core_audit_ok,final_risk_ok,expected_risk,rule_engine_risk,llm_risk,final_risk,final_risk_source,risk_disagreement,rule_id,rule_uid,title,trigger_layer,recall_channel,rule_risk_level,legal_attention_default_route,legal_interpretation_level,fact_verification_level,risk_severity,operator_fixability,confidence,calibration_status
CASE-COSM-002,美妆临床证明与数据引证,True,True,高,高,中,高,rule_engine_default,True,DY-COSM-001,RUID-7c41716145d01973,化妆品商品不得过度承诺效果,content,keyword,高,operator_supply_docs,medium,light,high,guided_fixable,high,provisional
CASE-COSM-002,美妆临床证明与数据引证,True,True,高,高,中,高,rule_engine_default,True,GEN-FALSE-001,RUID-d958618a8503a8de,广告不得作虚假或引人误解宣传,content,keyword,高,legal_review_required,high,heavy,high,not_self_fixable,high,provisional
CASE-COSM-002,美妆临床证明与数据引证,True,True,高,高,中,高,rule_engine_default,True,COSM-AD-002,RUID-343e09b5c1c6b0d2,农药、兽药、饲料和饲料添加剂广告不得利用科研单位等名义作推荐证明,content,keyword,高,operator_direct,low,none,medium,direct_fixable,high,provisional
CASE-COSM-002,美妆临床证明与数据引证,True,True,高,高,中,高,rule_engine_default,True,GEN-EDU-003,RUID-8c62d78f59c1cfaa,教育、培训广告不得利用科研单位、学术机构等名义或形象作推荐、证明,content,keyword,高,operator_direct,low,none,high,direct_fixable,high,provisional
CASE-COSM-002,美妆临床证明与数据引证,True,True,高,高,中,高,rule_engine_default,True,COSM-AD-002,RUID-90b3548616f67e98,招商广告不得利用学术机构、行业协会、专业人士、受益者名义作推荐证明,content,keyword,高,operator_supply_docs,medium,light,medium,guided_fixable,medium,provisional
CASE-COSM-002,美妆临床证明与数据引证,True,True,高,高,中,高,rule_engine_default,True,COSM-FALSE-004,RUID-6aacf3fd76ca293f,虚假广告定义-虚构使用商品或接受服务的效果,content,keyword,高,legal_review_required,high,heavy,high,not_self_fixable,high,provisional
CASE-COSM-002,美妆临床证明与数据引证,True,True,高,高,中,高,rule_engine_default,True,COSM-ADV-001,RUID-c434bc40389bb1a2,广告中使用他人名义或形象需取得书面同意,content,keyword,高,operator_supply_docs,medium,heavy,high,not_self_fixable,high,provisional
CASE-COSM-002,美妆临床证明与数据引证,True,True,高,高,中,高,rule_engine_default,True,COSM-ADV-001,RUID-d31f24a1455c5ead,广告代言人不得为其未使用过的商品作推荐、证明,content,keyword,高,operator_supply_docs,medium,light,high,guided_fixable,high,provisional
CASE-COSM-002,美妆临床证明与数据引证,True,True,高,高,中,高,rule_engine_default,True,XHS-COSM-001,RUID-7ca31fd391ea189b,美妆广告投放需完成行业认证,fact,fact,高,operator_supply_docs,low,light,medium,guided_fixable,high,provisional
CASE-COSM-004,美妆种草购物链接广告识别,False,False,中,高,中,高,rule_engine_default,True,COSM-FALSEADV-003,RUID-28d3242b78268125,虚假广告连带责任-社会团体或个人推荐连带责任,content,keyword,高,legal_review_required,high,heavy,high,not_self_fixable,high,provisional
CASE-COSM-004,美妆种草购物链接广告识别,False,False,中,高,中,高,rule_engine_default,True,IAM-MED-002,RUID-6f4d76fd2b5089b7,健康养生知识页面不得同时出现保健食品经营者地址、联系方式或购物链接,content,keyword,高,operator_direct,low,none,medium,direct_fixable,high,provisional
CASE-COSM-004,美妆种草购物链接广告识别,False,False,中,高,中,高,rule_engine_default,True,DY-COSM-001,RUID-2cf05ee3b2738f63,特殊身份带货禁止规则,content,semantic,高,legal_review_required,medium,heavy,high,not_self_fixable,high,provisional
CASE-COSM-004,美妆种草购物链接广告识别,False,False,中,高,中,高,rule_engine_default,True,COSM-ADEX-001,RUID-770045974521f8d2,禁止使用广告极限词,content,semantic,高,operator_direct,low,none,medium,direct_fixable,high,provisional
