case_id,title,case_number,court,decision_date,source_lookup_query,status
excel_candidate__food_medical_claim__883f17e8,大庆市食品药品监督管理局、黑龙江易联百货电子商务有限公司非诉执行审查案,（2018）黑0603行审1号,大庆市龙凤区人民法院,2018-02-02,（2018）黑0603行审1号 大庆市食品药品监督管理局、黑龙江易联百货电子商务有限公司非诉执行审查案,pending_source_lookup
excel_candidate__food_medical_claim__b0e7e8a2,李宗胜与江苏一号农场科技股份有限公司产品责任纠纷案,（2016）浙0483民初6906号,桐乡市人民法院,2016-10-18,（2016）浙0483民初6906号 李宗胜与江苏一号农场科技股份有限公司产品责任纠纷案,pending_source_lookup
excel_candidate__food_medical_claim__fd2c4c40,孙玉民与京之源（北京）农业有限公司北潞园分公司等买卖合同纠纷案,（2016）京0111民初14505号,北京市房山区人民法院,2016-11-22,（2016）京0111民初14505号 孙玉民与京之源（北京）农业有限公司北潞园分公司等买卖合同纠纷案,pending_source_lookup
excel_candidate__food_medical_claim__83ff48dc,德清县市场监督管理局、湖州洁净康电子科技有限公司非诉执行审查案,（2021）浙0521行审9号,德清县人民法院,2021-03-15,（2021）浙0521行审9号 德清县市场监督管理局、湖州洁净康电子科技有限公司非诉执行审查案,pending_source_lookup
excel_candidate__food_medical_claim__c13d1c27,盐津县市场监督管理局、盐津黑凤凰农业有限公司非诉执行审查案,（2021）云0623行审4号,盐津县人民法院,2021-04-27,（2021）云0623行审4号 盐津县市场监督管理局、盐津黑凤凰农业有限公司非诉执行审查案,pending_source_lookup
excel_candidate__health_food_overclaim__d9cb5caf,昌乐县市场监督管理局、吴素杰非诉执行审查案,（2020）鲁0725行审15号,昌乐县人民法院,2020-03-26,（2020）鲁0725行审15号 昌乐县市场监督管理局、吴素杰非诉执行审查案,pending_source_lookup
excel_candidate__health_food_overclaim__f92a771c,南宁武鸣活力保健食品有限公司与南宁市武鸣区市场监督管理局行政案,（2020）桂0107行初80号,南宁市西乡塘区人民法院,2020-10-15,（2020）桂0107行初80号 南宁武鸣活力保健食品有限公司与南宁市武鸣区市场监督管理局行政案,pending_source_lookup
excel_candidate__health_food_overclaim__df7e40d5,宁波市镇海区市场监督管理局、宁波市镇海区招宝山瑞寿食品商行非诉执行审查案,（2019）浙0211行审74号,宁波市镇海区人民法院,2019-10-15,（2019）浙0211行审74号 宁波市镇海区市场监督管理局、宁波市镇海区招宝山瑞寿食品商行非诉执行审查案,pending_source_lookup
excel_candidate__health_food_overclaim__32abaf01,常州市武进区市场监督管理局与武进区湖塘颐圣堂食品店、马世开行政非诉审查案,（2020）苏0412行审155号,常州市武进区人民法院,2020-12-30,（2020）苏0412行审155号 常州市武进区市场监督管理局与武进区湖塘颐圣堂食品店、马世开行政非诉审查案,pending_source_lookup
excel_candidate__health_food_overclaim__87d3834c,宜兴市市场监督管理局、宜兴市某某服务部行政处罚非诉执行审查案,（2025）苏0282行审17号,宜兴市人民法院,2025-04-02,（2025）苏0282行审17号 宜兴市市场监督管理局、宜兴市某某服务部行政处罚非诉执行审查案,pending_source_lookup
excel_candidate__cosmetic_medical_claim__ec0e2c05,宜兴市市场监督管理局、孙某非诉行政行为申请执行审查案,（2025）苏0282行审5号,宜兴市人民法院,2025-01-13,（2025）苏0282行审5号 宜兴市市场监督管理局、孙某非诉行政行为申请执行审查案,pending_source_lookup
excel_candidate__cosmetic_medical_claim__ac711b6d,临邑县市场监督管理局、临邑县临南镇双丰至尚洗化百货商店非诉执行审查案,（2019）鲁1424行审75号,临邑县人民法院,2019-08-01,（2019）鲁1424行审75号 临邑县市场监督管理局、临邑县临南镇双丰至尚洗化百货商店非诉执行审查案,pending_source_lookup
excel_candidate__cosmetic_medical_claim__865b8bc7,周致正与北京创锐文化传媒有限公司买卖合同纠纷案,（2015）朝民（商）初字第49845号,北京市朝阳区人民法院,2016-11-02,（2015）朝民（商）初字第49845号 周致正与北京创锐文化传媒有限公司买卖合同纠纷案,pending_source_lookup
excel_candidate__cosmetic_medical_claim__80f1858a,苏州开禧医药有限公司与苏州市吴江区市场监督管理局行政处罚案,（2018）苏0508行初268号,苏州市姑苏区人民法院,2018-12-28,（2018）苏0508行初268号 苏州开禧医药有限公司与苏州市吴江区市场监督管理局行政处罚案,pending_source_lookup
