review_priority,rule_uid,rule_id,title,dimension,risk_level,trigger_layer,semantic_enabled,semantic_role,current_route,old_routing_route,recommended_route,route_changed,trigger_clarity,legal_interpretation_level,fact_verification_level,risk_severity,operator_fixability,calibration_status,conflict_flags,recommendation_reasons,source_file
high,RUID-d75f8ff6a418a789,COSM-AD-001,广告引证内容应真实准确并表明出处,数据引用不规范,中,fact,True,fallback,operator_supply_docs,operator_direct,operator_supply_docs,False,contextual,medium,light,medium,guided_fixable,provisional,legal_attention/routing不一致；fact规则仍开启普通语义召回,legal_attention.default_route 与旧 routing.default_route 不一致。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\美妆\20260705_中华人民共和国广告法（2021修正）_2021.04.29生效_20260615下载_规则拆解_v1.json
high,RUID-06ec2b429e927cba,COSM-DATA-001,广告中使用数据引证内容需提供证明材料,数据引用不规范,中,fact,True,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,contextual,medium,heavy,medium,guided_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\美妆\20260706_小红书聚光帮助中心-文档_规则拆解_v1.json
high,RUID-8df0336ce7aaf59c,COSM-LABEL-001,化妆品经营者应披露与注册或备案资料一致的标签信息,标签标识不规范,中,fact,True,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,contextual,medium,heavy,medium,not_self_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\美妆\20260705_化妆品生产经营监督管理办法_2022.01.01生效_20260615下载_规则拆解_v1.json
high,RUID-491c9616141a70d9,COSM-OTHER-001,销售者不得伪造或者冒用认证标志等质量标志,其他,高,fact,True,fallback,legal_review_required,operator_supply_docs,legal_review_required,False,contextual,medium,heavy,high,not_self_fixable,provisional,legal_attention/routing不一致；fact规则仍开启普通语义召回,legal_attention.default_route 与旧 routing.default_route 不一致。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\美妆\20260705_中华人民共和国产品质量法（2018修正）_2018.12.29生效_20260615下载_规则拆解_v1.json
high,RUID-074787e4ab4196cf,COSM-PLATFORM-001,特殊化妆品须经注册、普通化妆品须经备案后方可上市销售或进口,平台准入/资质不符,高,fact,True,fallback,operator_supply_docs,operator_direct,operator_supply_docs,False,clear,low,heavy,high,not_self_fixable,provisional,legal_attention/routing不一致；fact规则仍开启普通语义召回,legal_attention.default_route 与旧 routing.default_route 不一致。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\美妆\20260705_化妆品监督管理条例_2021.01.01生效_20260615下载_规则拆解_v1.json
high,RUID-6df547a796e6aaa8,GAME-AD-001,网络游戏运营须经依法审批,版号缺失,高,fact,True,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,contextual,medium,heavy,high,not_self_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260705_中华人民共和国未成年人保护法（2024修正）_2024.04.26生效_20260615下载_规则拆解_v1.json
high,RUID-01d5d70f1845dca4,GAME-DATA-001,广告引证内容应真实准确并表明出处,数据引用不规范,中,fact,True,fallback,operator_direct,operator_direct,operator_direct,False,clear,low,none,low,direct_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260705_中华人民共和国广告法（2021修正）_2021.04.29生效_20260615下载_规则拆解_v1.json
high,RUID-c8991e3c90633f41,GAME-DATA-001,事实性描述需提供证明材料,数据引用不规范,中,fact,True,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,clear,low,heavy,medium,guided_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260706_小红书聚光帮助中心-文档_规则拆解_v1.json
high,RUID-bf6d6474f6a35028,GAME-DATA-001,广告中使用数据引证内容需提供证明材料,数据引用不规范,中,fact,True,fallback,operator_supply_docs,operator_supply_docs,operator_supply_docs,False,contextual,medium,heavy,medium,guided_fixable,provisional,fact规则仍开启普通语义召回,未发现明显字段冲突；可低优先级抽检。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260706_小红书聚光帮助中心-文档_规则拆解_v1.json
high,RUID-a60ec2c81f57c041,GAME-IP-001,动漫影视剪辑二创类广告不得使用未授权人物形象及原作内容,IP侵权,高,fact,True,fallback,legal_review_required,operator_direct,legal_review_required,False,contextual,medium,heavy,high,not_self_fixable,provisional,legal_attention/routing不一致；fact规则仍开启普通语义召回,legal_attention.default_route 与旧 routing.default_route 不一致。,D:\G-Vibe coding\广告合规审查智能体\知识图谱\jsonbase\游戏\20260706_B站广告推广平台审核规范_规则拆解_v1.json
